day, x, y, z
52,6.691566481294222E11,-1.350733556669223E12,2.4959693379462957E9
53,6.699381644682003E11,-1.3505340980423513E12,2.5418130587673388E9
54,6.707195393394641E11,-1.3503326983146528E12,2.5868520840279503E9
55,6.715007596456262E11,-1.3501294014267737E12,2.6311102455298696E9
56,6.72281813316379E11,-1.3499242492947288E12,2.6746102296655035E9
57,6.73062689218399E11,-1.3497172819373616E12,2.717373652095398E9
58,6.738433770742064E11,-1.3495085375937942E12,2.759421126355095E9
59,6.746238673891193E11,-1.3492980528317993E12,2.8007723269768767E9
60,6.754041513853823E11,-1.349085862647925E12,2.8414460476470785E9
61,6.76184220942665E11,-1.3488720005601177E12,2.881460254862865E9
62,6.769640685442272E11,-1.3486564986935115E12,2.920832137502536E9
63,6.777436872281362E11,-1.348439387859984E12,2.9595781526796083E9
64,6.785230705429968E11,-1.3482206976320144E12,2.997714068212301E9
65,6.79302212507716E11,-1.3480004564113337E12,3.0352550020059686E9
66,6.800811075748854E11,-1.3477786914928008E12,3.072215458615889E9
67,6.808597505974113E11,-1.3475554291239036E12,3.108609363231092E9
68,6.816381367980632E11,-1.3473306945602402E12,3.144450093296228E9
69,6.824162617416516E11,-1.3471045121173052E12,3.17975050796739E9
70,6.831941213095765E11,-1.3468769052188752E12,3.2145229755790453E9
71,6.839717116765177E11,-1.34664789644226E12,3.2487793992824864E9
72,6.847490292890614E11,-1.346417507560662E12,3.282531241001271E9
73,6.85526070846081E11,-1.346185759582866E12,3.3157895438357205E9
74,6.863028332807096E11,-1.345952672790458E12,3.348564953036581E9
75,6.870793137437556E11,-1.3457182667727622E12,3.3808677356571636E9
76,6.878555095884335E11,-1.3454825604596572E12,3.412707798983636E9
77,6.886314183562888E11,-1.3452455721524314E12,3.4440947078344154E9
78,6.894070377642146E11,-1.3450073195528147E12,3.47503770081178E9
79,6.901823656924609E11,-1.3447678197903171E12,3.5055457055817304E9
80,6.909574001735532E11,-1.3445270894479917E12,3.535627353251743E9
81,6.917321393820419E11,-1.3442851445867327E12,3.565290991910266E9
82,6.925065816250116E11,-1.3440420007682063E12,3.59454469938657E9
83,6.932807253332882E11,-1.3437976730765088E12,3.6233962952848077E9
84,6.940545690532843E11,-1.3435521761386353E12,3.6518533523418183E9
85,6.948281114394324E11,-1.3433055241438381E12,3.6799232071542954E9
86,6.956013512471571E11,-1.3430577308619482E12,3.7076129703173532E9
87,6.963742873263445E11,-1.3428088096607239E12,3.734929536013281E9
88,6.971469186152672E11,-1.342558773522292E12,3.7618795910862975E9
89,6.979192441349318E11,-1.342307635058736E12,3.7884696236364145E9
90,6.98691262983814E11,-1.342055406526887E12,3.8147059311630335E9
91,6.994629743329529E11,-1.3418020998423625E12,3.840594628286635E9
92,7.002343774213763E11,-1.341547726592905E12,3.8661416540748425E9
93,7.010054715518326E11,-1.3412922980510566E12,3.8913527789972396E9
94,7.017762560868057E11,-1.3410358251862126E12,3.916233611531569E9
95,7.02546730444793E11,-1.3407783186760908E12,3.94078960444234E9
96,7.033168940968264E11,-1.3405197889176492E12,3.9650260607513895E9
97,7.040867465632191E11,-1.3402602460374849E12,3.9889481394185967E9
98,7.048562874105217E11,-1.3399996999017444E12,4.012560860749681E9
99,7.056255162486725E11,-1.339738160125572E12,4.0358691115468774E9
100,7.06394432728329E11,-1.339475636082122E12,4.058877650017214E9
101,7.071630365383672E11,-1.3392121369111616E12,4.0815911104521255E9
102,7.079313274035372E11,-1.3389476715272827E12,4.1040140076912484E9
103,7.086993050822646E11,-1.3386822486277483E12,4.12615074138238E9
104,7.094669693645875E11,-1.33841587669999E12,4.148005600048826E9
105,7.1023432007022E11,-1.338148564028777E12,4.169582764974637E9
106,7.110013570467332E11,-1.3378803187030742E12,4.190886313917553E9
107,7.117680801678472E11,-1.337611148622603E12,4.211920224658884E9
108,7.125344893318251E11,-1.3373410615041245E12,4.23268837839895E9
109,7.133005844599634E11,-1.3370700648874563E12,4.253194563006193E9
110,7.140663654951722E11,-1.3367981661412373E12,4.2734424761275635E9
111,7.148318324006394E11,-1.3365253724684531E12,4.293435728167332E9
112,7.155969851585729E11,-1.3362516909117356E12,4.313177845141041E9
113,7.163618237690177E11,-1.3359771283584448E12,4.33267227141091E9
114,7.171263482487406E11,-1.3357016915455469E12,4.351922372308641E9
115,7.178905586301803E11,-1.3354253870642961E12,4.370931436651227E9
116,7.186544549604574E11,-1.3351482213647322E12,4.38970267915501E9
117,7.19418037300442E11,-1.334870200759999E12,4.408239242752992E9
118,7.201813057238741E11,-1.3345913314304968E12,4.426544200820051E9
119,7.209442603165342E11,-1.3343116194278723E12,4.444620559310504E9
120,7.217069011754604E11,-1.334031070678857E12,4.462471258812171E9
121,7.224692284082112E11,-1.3337496909889587E12,4.480099176520897E9
122,7.232312421321674E11,-1.3334674860460151E12,4.497507128139241E9
123,7.239929424738754E11,-1.333184461423613E12,4.514697869702861E9
124,7.247543295684259E11,-1.3329006225843816E12,4.531674099337912E9
125,7.255154035588677E11,-1.3326159748831648E12,4.548438458952619E9
126,7.262761645956534E11,-1.3323305235700774E12,4.564993535865997E9
127,7.270366128361168E11,-1.3320442737934512E12,4.581341864376545E9
128,7.277967484439779E11,-1.3317572306026743E12,4.597485927273585E9
129,7.285565715888765E11,-1.3314693989509307E12,4.613428157293792E9
130,7.2931608244593E11,-1.331180783697842E12,4.629170938525299E9
131,7.300752811953171E11,-1.3308913896120168E12,4.644716607761689E9
132,7.308341680218823E11,-1.3306012213735115E12,4.660067455808005E9
133,7.315927431147638E11,-1.3303102835762058E12,4.675225728740861E9
134,7.323510066670405E11,-1.330018580730098E12,4.690193629124586E9
135,7.33108958875399E11,-1.3297261172635195E12,4.704973317185278E9
136,7.338665999398181E11,-1.3294328975252786E12,4.719566911944509E9
137,7.346239300632706E11,-1.329138925786728E12,4.733976492314371E9
138,7.353809494514418E11,-1.3288442062437676E12,4.748204098155467E9
139,7.361376583124625E11,-1.328548743018778E12,4.762251731299337E9
140,7.368940568566573E11,-1.3282525401624934E12,4.776121356536802E9
141,7.376501452963059E11,-1.3279556016558105E12,4.789814902573569E9
142,7.384059238454175E11,-1.3276579314115417E12,4.803334262954435E9
143,7.391613927195178E11,-1.327359533276111E12,4.816681296957324E9
144,7.399165521354474E11,-1.3270604110311956E12,4.829857830458352E9
145,7.406714023111708E11,-1.3267605683953154E12,4.842865656769067E9
146,7.414259434655967E11,-1.3264600090253743E12,4.855706537446932E9
147,7.42180175818407E11,-1.3261587365181511E12,4.8683822030801E9
148,7.429340995898962E11,-1.325856754411746E12,4.880894354047464E9
149,7.43687715000819E11,-1.3255540661869817E12,4.893244661254924E9
150,7.44441022272246E11,-1.3252506752687617E12,4.905434766848773E9
151,7.451940216254286E11,-1.324946585027388E12,4.917466284907069E9
152,7.4594671328167E11,-1.3246417987798386E12,4.929340802109811E9
153,7.466990974622042E11,-1.3243363197910073E12,4.941059878388701E9
154,7.474511743880813E11,-1.3240301512749053E12,4.952625047557265E9
155,7.482029442800596E11,-1.3237232963958286E12,4.964037817922026E9
156,7.489544073585034E11,-1.3234157582694915E12,4.975299672875441E9
157,7.497055638432872E11,-1.3231075399641252E12,4.986412071471253E9
158,7.504564139537047E11,-1.3227986445015466E12,4.997376448982894E9
159,7.512069579083832E11,-1.3224890748581946E12,5.008194217445531E9
160,7.519571959252031E11,-1.3221788339661377E12,5.018866766182359E9
161,7.527071282212224E11,-1.3218679247140537E12,5.029395462315676E9
162,7.534567550126046E11,-1.3215563499481797E12,5.039781651263283E9
163,7.54206076514552E11,-1.3212441124732373E12,5.050026657220717E9
164,7.549550929412423E11,-1.320931215053331E12,5.060131783629813E9
165,7.557038045057693E11,-1.3206176604128225E12,5.070098313634052E9
166,7.56452211420087E11,-1.3203034512371797E12,5.079927510521164E9
167,7.572003138949576E11,-1.3199885901738035E12,5.089620618153403E9
168,7.579481121399021E11,-1.3196730798328318E12,5.099178861385926E9
169,7.586956063631547E11,-1.3193569227879216E12,5.108603446473657E9
170,7.594427967716194E11,-1.3190401215770105E12,5.117895561467036E9
171,7.601896835708303E11,-1.3187226787030571E12,5.127056376597017E9
172,7.609362669649138E11,-1.3184045966347627E12,5.136087044649663E9
173,7.616825471565535E11,-1.3180858778072727E12,5.144988701330686E9
174,7.624285243469579E11,-1.3177665246228608E12,5.153762465620258E9
175,7.631741987358298E11,-1.317446539451595E12,5.162409440118412E9
176,7.639195705213386E11,-1.3171259246319856E12,5.170930711381318E9
177,7.646646399000938E11,-1.3168046824716177E12,5.179327350248757E9
178,7.65409407067121E11,-1.316482815247766E12,5.187600412163046E9
179,7.661538722158398E11,-1.3161603252079958E12,5.195750937479692E9
180,7.668980355380433E11,-1.3158372145707466E12,5.203779951770049E9
181,7.676418972238793E11,-1.3155134855259026E12,5.211688466116204E9
182,7.683854574618328E11,-1.3151891402353481E12,5.219477477398358E9
183,7.691287164387109E11,-1.3148641808335103E12,5.227147968574917E9
184,7.698716743396283E11,-1.314538609427886E12,5.234700908955523E9
185,7.706143313479941E11,-1.3142124280995583E12,5.242137254467244E9
186,7.713566876455011E11,-1.3138856389036992E12,5.249457947914132E9
187,7.720987434121144E11,-1.3135582438700588E12,5.256663919230337E9
188,7.728404988260631E11,-1.3132302450034453E12,5.26375608572699E9
189,7.735819540638322E11,-1.3129016442841914E12,5.270735352333024E9
190,7.743231093001549E11,-1.31257244366861E12,5.277602611830132E9
191,7.750639647080077E11,-1.3122426450894397E12,5.284358745082012E9
192,7.758045204586045E11,-1.3119122504562778E12,5.291004621258093E9
193,7.765447767213931E11,-1.3115812616560059E12,5.297541098051881E9
194,7.772847336640515E11,-1.3112496805532031E12,5.303969021894101E9
195,7.780243914524861E11,-1.3109175089905513E12,5.310289228160771E9
196,7.787637502508291E11,-1.3105847487892288E12,5.316502541376362E9
197,7.795028102214386E11,-1.3102514017492976E12,5.322609775412183E9
198,7.802415715248976E11,-1.30991746965008E12,5.328611733680131E9
199,7.809800343200148E11,-1.309582954250527E12,5.33450920932193E9
200,7.817181987638257E11,-1.309247857289578E12,5.340302985393991E9
201,7.824560650115941E11,-1.3089121804865125E12,5.34599383504802E9
202,7.831936332168145E11,-1.3085759255412952E12,5.351582521707483E9
203,7.839309035312144E11,-1.308239094134911E12,5.357069799240056E9
