day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,7.679900694860343E11,-9.538664602698307E11,1.9082989222892974E7
2,3.54031170124171E12,-3.7567248899813066E12,5.181372883111001E7
3,8.16977947377925E12,-8.437185706182069E12,1.0647041144702774E8
4,1.4656393407839432E13,-1.4995248930586785E13,1.83053037444256E8
5,2.3000153506860727E13,-2.3430914566735574E13,2.815616068705505E8
6,3.320105977177726E13,-3.374418261558341E13,4.0199611973743814E8
7,4.525911220292355E13,-4.593505307747103E13,5.443565760490929E8
8,5.917431080044271E13,-6.000352595254391E13,7.086429758072684E8
9,7.494665556440412E13,-7.594960124087248E13,8.94855319012806E8
10,9.257614649484469E13,-9.377327894249416E13,1.10299360566615E9
11,1.1206278359178545E14,-1.134745590574303E14,1.3330578357675533E9
12,1.3340656685523916E14,-1.3505344158569381E14,1.5850480093171682E9
13,1.5660749628521388E14,-1.585099265272928E14,1.8589641263150907E9
14,1.816655718817149E14,-1.8384401388223272E14,2.154806186761384E9
15,2.0858079364474584E14,-2.110557036505172E14,2.472574190656091E9
16,2.3735316157430922E14,-2.4014499583214872E14,2.812268137999242E9
17,2.679826756704068E14,-2.7111189042712922E14,3.173888028790858E9
18,3.0046933593303994E14,-3.0395638743545994E14,3.5574338630309544E9
19,3.348131423622096E14,-3.3867848685714194E14,3.9629056407195435E9
20,3.7101409495791656E14,-3.752781886921759E14,4.390303361856634E9
21,4.090721937201614E14,-4.1375549294056244E14,4.839627026442232E9
22,4.4898743864894444E14,-4.54110399602302E14,5.310876634476343E9
23,4.907598297442661E14,-4.9634290867739494E14,5.804052185958972E9
24,5.3438936700612675E14,-5.404530201658415E14,6.319153680890121E9
25,5.798760504345266E14,-5.86440734067642E14,6.856181119269794E9
26,6.272198800294656E14,-6.343060503827965E14,7.415134501097993E9
27,6.764208557909442E14,-6.840489691113052E14,7.996013826374718E9
28,7.274789777189624E14,-7.356694902531682E14,8.598819095099972E9
29,7.803942458135202E14,-7.891676138083858E14,9.223550307273756E9
30,8.351666600746179E14,-8.445433397769578E14,9.870207462896072E9
31,8.917962205022552E14,-9.017966681588844E14,1.0538790561966919E10
32,9.502829270964328E14,-9.609275989541658E14,1.1229299604486298E10
33,1.0106267798571501E15,-1.0219361321628018E15,1.194173459045421E10
34,1.0728277787844075E15,-1.0848222677847925E15,1.2676095519870655E10
35,1.136885923878205E15,-1.1495860058201382E15,1.3432382392735636E10
36,1.2028012151385425E15,-1.2162273462688388E15,1.421059520904915E10
37,1.27057365256542E15,-1.284746289130894E15,1.5010733968811201E10
38,1.3402032361588378E15,-1.3551428344063042E15,1.5832798672021786E10
39,1.4116899659187955E15,-1.4274169820950695E15,1.6676789318680906E10
40,1.4850338418452935E15,-1.5015687321971895E15,1.754270590878856E10
41,1.5602348639383318E15,-1.5775980847126645E15,1.843054844234475E10
42,1.63729303219791E15,-1.6555050396414945E15,1.9340316919349476E10
43,1.7162083466240285E15,-1.7352895969836795E15,2.0272011339802742E10
44,1.7969808072166872E15,-1.8169517567392195E15,2.1225631703704544E10
45,1.8796104139758862E15,-1.9004915189081145E15,2.2201178011054882E10
46,1.9640971669016258E15,-1.9859088834903645E15,2.3198650261853756E10
47,2.0504410659939055E15,-2.0732038504859695E15,2.4218048456101166E10
48,2.1386421112527255E15,-2.1623764198949295E15,2.525937259379711E10
49,2.2287003026780858E15,-2.2534265917172445E15,2.6322622674941593E10
50,2.320615640269986E15,-2.3463543659529145E15,2.7407798699534615E10
51,2.4143881240284265E15,-2.4411597426019395E15,2.851490066757617E10
52,2.5100177539534075E15,-2.5378427216643195E15,2.9643928579066265E10
53,2.6075045300449285E15,-2.6364033031400545E15,3.0794882434004894E10
54,2.70684845230299E15,-2.7368414870291445E15,3.1967762232392063E10
55,2.808049520727592E15,-2.8391572733315895E15,3.3162567974227768E10
56,2.911107735318734E15,-2.94335066204739E15,3.437929965951201E10
57,3.0160230960764165E15,-3.0494216531765455E15,3.561795728824478E10
58,3.1227956030006395E15,-3.157370246719056E15,3.6878540860426094E10
59,3.2314252560914025E15,-3.2671964426749215E15,3.816105037605595E10
60,3.341912055348706E15,-3.378900241044142E15,3.946548583513433E10
61,3.4542560007725495E15,-3.4924816418267175E15,4.0791847237661255E10
62,3.5684570923629335E15,-3.607940645022648E15,4.214013458363672E10
63,3.684515330119858E15,-3.7252772506319335E15,4.3510347873060715E10
64,3.8024307140433225E15,-3.8444914586545745E15,4.490248710593325E10
65,3.9222032441333275E15,-3.9655832690905705E15,4.6316552282254326E10
66,4.0438329203898725E15,-4.0885526819399215E15,4.775254340202393E10
67,4.167319742812958E15,-4.2133996972026275E15,4.921046046524208E10
68,4.292663711402584E15,-4.3401243148786885E15,5.069030347190877E10
69,4.41986482615875E15,-4.4687265349681045E15,5.219207242202399E10
70,4.548923087081457E15,-4.599206357470876E15,5.3715767315587746E10
71,4.679838494170704E15,-4.731563782387003E15,5.5261388152600044E10
72,4.812611047426491E15,-4.865798809716485E15,5.682893493306088E10
73,4.947240746848819E15,-5.001911439459322E15,5.841840765697025E10
74,5.083727592437687E15,-5.139901671615514E15,6.002980632432816E10
75,5.222071584193095E15,-5.279769506185061E15,6.166313093513461E10
76,5.362272722115044E15,-5.421514943167963E15,6.3318381489389595E10
77,5.504331006203533E15,-5.56513798256422E15,6.499555798709312E10
78,5.648246436458562E15,-5.710638624373833E15,6.669466042824518E10
79,5.794019012880132E15,-5.858016868596801E15,6.841568881284578E10
80,5.941648735468242E15,-6.007272715233124E15,7.015864314089493E10
81,6.091135604222892E15,-6.158406164282802E15,7.192352341239261E10
82,6.242479619144083E15,-6.311417215745835E15,7.371032962733882E10
83,6.395680780231814E15,-6.466305869622223E15,7.551906178573358E10
84,6.550739087486085E15,-6.623072125911966E15,7.734971988757687E10
85,6.707654540906897E15,-6.781715984615064E15,7.92023039328687E10
86,6.866427140494249E15,-6.942237445731517E15,8.107681392160907E10
87,7.027056886248142E15,-7.104636509261326E15,8.297324985379797E10
88,7.189543778168575E15,-7.26891317520449E15,8.489161172943541E10
89,7.353887816255548E15,-7.435067443561009E15,8.68318995485214E10
90,7.520089000509062E15,-7.603099314330883E15,8.879411331105591E10
91,7.688147330929116E15,-7.773008787514112E15,9.077825301703897E10
92,7.85806280751571E15,-7.944795863110696E15,9.278431866647057E10
93,8.029835430268845E15,-8.118460541120635E15,9.48123102593507E10
94,8.20346519918852E15,-8.294002821543929E15,9.686222779567937E10
