day,x,y,z
160,-5.184116901100849E12,-8.017044224664352E11,1.728025866209113E7
161,-5.215582160284076E12,-8.065337414755485E11,1.7336468124024596E7
162,-5.247047384273272E12,-8.113630550406053E11,1.739267750705511E7
163,-5.278512573489167E12,-8.161923632269453E11,1.7448886812178243E7
164,-5.309977728344989E12,-8.210216660987386E11,1.7505096040371057E7
165,-5.341442849246644E12,-8.25850963719014E11,1.756130519259259E7
166,-5.372907936592886E12,-8.306802561496852E11,1.761751426978428E7
167,-5.404372990775487E12,-8.355095434515774E11,1.7673723272870377E7
168,-5.435838012179398E12,-8.403388256844526E11,1.7729932202758383E7
169,-5.467303001182905E12,-8.451681029070343E11,1.7786141060339436E7
170,-5.49876795815778E12,-8.49997375177031E11,1.7842349846488703E7
171,-5.530232883469437E12,-8.548266425511602E11,1.7898558562065758E7
172,-5.561697777477067E12,-8.596559050851703E11,1.795476720791495E7
173,-5.593162640533788E12,-8.644851628338628E11,1.801097578486575E7
174,-5.624627472986772E12,-8.693144158511136E11,1.806718429373312E7
175,-5.656092275177386E12,-8.74143664189894E11,1.812339273531781E7
176,-5.687557047441312E12,-8.789729079022904E11,1.8179601110406727E7
177,-5.719021790108681E12,-8.838021470395242E11,1.8235809419773217E7
178,-5.75048650350419E12,-8.886313816519705E11,1.8292017664177388E7
179,-5.781951187947222E12,-8.934606117891771E11,1.8348225844366413E7
180,-5.813415843751959E12,-8.982898374998826E11,1.8404433961074807E7
181,-5.844880471227499E12,-9.03119058832033E11,1.8460642015024718E7
182,-5.876345070677961E12,-9.079482758327998E11,1.85168500069262E7
183,-5.907809642402593E12,-9.127774885485963E11,1.8573057937477488E7
184,-5.939274186695874E12,-9.176066970250935E11,1.8629265807365235E7
185,-5.970738703847618E12,-9.224359013072362E11,1.868547361726479E7
186,-6.002203194143069E12,-9.27265101439258E11,1.874168136784042E7
187,-6.033667657862999E12,-9.320942974646967E11,1.879788905974558E7
188,-6.065132095283797E12,-9.36923489426408E11,1.8854096693623114E7
189,-6.096596506677563E12,-9.417526773665804E11,1.89103042701055E7
190,-6.128060892312199E12,-9.46581861326749E11,1.8966511789815057E7
191,-6.159525252451487E12,-9.514110413478082E11,1.9022719253364183E7
192,-6.190989587355182E12,-9.562402174700258E11,1.9078926661355533E7
193,-6.222453897279084E12,-9.610693897330548E11,1.913513401438224E7
194,-6.253918182475128E12,-9.658985581759465E11,1.919134131302812E7
195,-6.285382443191454E12,-9.707277228371625E11,1.9247548557867847E7
196,-6.316846679672487E12,-9.755568837545859E11,1.9303755749467157E7
197,-6.348310892159008E12,-9.80386040965534E11,1.9359962888383023E7
198,-6.379775080888226E12,-9.852151945067686E11,1.941616997516383E7
199,-6.411239246093853E12,-9.90044344414507E11,1.9472377010349557E7
200,-6.442703388006165E12,-9.948734907244332E11,1.9528583994471952E7
201,-6.474167506852078E12,-9.997026334717081E11,1.9584790928054683E7
202,-6.505631602855204E12,-1.0045317726909796E12,1.9640997811613504E7
203,-6.53709567623592E12,-1.0093609084163923E12,1.969720464565642E7
204,-6.568559727211429E12,-1.0141900406815978E12,1.9753411430683836E7
205,-6.600023755995821E12,-1.0190191695197634E12,1.9809618167188704E7
206,-6.631487762800133E12,-1.0238482949635824E12,1.986582485565667E7
207,-6.662951747832403E12,-1.0286774170452819E12,1.992203149656622E7
208,-6.694415711297731E12,-1.0335065357966323E12,1.997823809038882E7
209,-6.725879653398333E12,-1.0383356512489559E12,2.0034444637589045E7
210,-6.757343574333592E12,-1.0431647634331351E12,2.0090651138624724E7
211,-6.788807474300114E12,-1.0479938723796207E12,2.0146857593947053E7
212,-6.820271353491778E12,-1.0528229781184396E12,2.0203064004000735E7
